team_home,team_away,goals_home,goals_away,season,league_division
FC Kotkat,Kutosen Klopit,2,3,2025,6
HeMan,PPJ/Jätkäsaari,2,2,2025,6
MK United/Warriors,AFG united,1,3,2025,6
Tikka/2,EPS/2,0,1,2025,6
KOPSE/VI,Sibbo-Vargarna/2,1,2,2025,6
PiTa/II,PPV/Seos,1,1,2025,6
FC FC,PPJ/West Wanderers,0,2,2025,6
FC POHU/Shrimps,Lännen Torpedo,0,4,2025,6
Ruila,Tähti Helsinki,0,5,2025,6
HH Palloveikot,Geishan Pallo,3,1,2025,6
TöTa/FC Mauskis,HJK/Töölön Ihme,2,3,2025,6
Strikers/Bertil,FC Babylon,1,1,2025,6
Ponnistus/Peruskallio,HePuLi,3,3,2025,6
AC StaSi,MLHF,1,3,2025,6
Espoon Sonnit,FC POHU/CJ United,4,3,2025,6
Länsiväylän Dynamo,FC Kirkkonummi/2,1,1,2025,6
Jäntevä/Ukot,FC Etapo,3,1,2025,6
ViTa,KJS/Sininen,2,6,2025,6
HAlku/FC,FC MVP,2,6,2025,6
Jokerit FC/2,FC POHU/SiPa,1,3,2025,6
FC POHU/Futboleros,PPJ/Faijat Jätkäsaari,2,0,2025,6
Veijarit,Andalus FC/Alpujarra,2,4,2025,6
Kurvin Vauhti/Partiz,FC Germania/Akademie,0,1,2025,6
FC Dons/Akatemia,Pessoas Boas,0,1,2025,6
FC POHU/Traktori,FC Viikingit/S.C.P L,3,2,2025,6
FC OHO UNITED,FC POHU/Toivo,2,2,2025,6
FC Juvantus,Mando United,0,6,2025,6
JäPS/Akatemia,AC JazzPa,8,1,2025,6
PPJ/Faijat Jätkäsaari,Pessoas Boas,0,6,2025,6
Andalus FC/Alpujarra,FC Viikingit/S.C.P L,1,3,2025,6
Kullervo/Mosaic,DFSV,6,0,2025,6
FC Kirkkonummi/2,HooGee/Hodari,1,2,2025,6
HaTP,HiHi,1,1,2025,6
FC Villisiat,KarPo,4,0,2025,6
Valtti/LA,MK United/Warriors,5,3,2025,6
EPS/2,ViTa,2,1,2025,6
Sibbo-Vargarna/2,HAlku/FC,8,0,2025,6
Pelikaani,KP-75,0,4,2025,6
MyPa/FC,PoPo,1,5,2025,6
Union Plaani/17,Mäntsälän Urheilijat,5,0,2025,6
Ares -86,JäPS/Akatemia,2,10,2025,6
HJK/Töölön Ihme,Helsinki Stars,0,5,2025,6
Korian Klubi/2,HausPa,5,2,2025,6
PPV/Seos,HeMan,4,1,2025,6
AC Rastaala,Länsiväylän Dynamo,5,0,2025,6
Lännen Torpedo,VJS/3,2,2,2025,6
FC Kontu/ST,PuiU/Akatemia,0,2,2025,6
KeiKa,FC POHU/Shrimps,12,0,2025,6
Kilo IF/3,PPJ/West Wanderers,1,8,2025,6
PEP/Pitkätossut,HJK/Kantsu 94,0,0,2025,6
Kutosen Klopit,HH Palloveikot,0,3,2025,6
JäPS/City,Naseva,1,3,2025,6
Käpylä Maanantai,Mando United,0,7,2025,6
FC POHU/Toivo,FC Babylon,2,0,2025,6
AC JazzPa,KOPSE/VI,1,3,2025,6
FC Tuusula,FC MVP,0,1,2025,6
FC POHU/CJ United,FC FC,5,0,2025,6
Vermo Vikings,Tikka/2,1,1,2025,6
FC POHU/Traktori,AFG united,1,2,2025,6
Tähti Helsinki,FC Kontu/U23,1,3,2025,6
Ruila,Veijarit,2,4,2025,6
StaKe FC,TöTa/FC Mauskis,1,0,2025,6
FC POHU/SiPa,Kurvin Vauhti/Partiz,1,0,2025,6
ViSa,Jäntevä/Ukot,2,0,2025,6
FC Kiffen/2,FC Dons/Akatemia,3,5,2025,6
MLHF,FC Degis,2,1,2025,6
Ponnistus/Peruskallio,FC OHO UNITED,2,0,2025,6
PPJ/Jätkäsaari,Strikers/Bertil,1,2,2025,6
HPS/Jägers,PPS/Diablos Rojos,5,1,2025,6
FC Germania/Akademie,FC Juvantus,2,2,2025,6
FC Kapina/2,Iitin Pallo-68,1,1,2025,6
HePuLi,PiTa/II,8,1,2025,6
Geishan Pallo,Espoon Sonnit,1,3,2025,6
PPJ/West Wanderers,Geishan Pallo,3,1,2025,6
FC Kontu/U23,Andalus FC/Alpujarra,4,0,2025,6
VJS/3,PEP/Pitkätossut,1,2,2025,6
KP-75,Sibbo-Vargarna/2,3,1,2025,6
FC MVP,AC JazzPa,0,2,2025,6
DFSV,FC Germania/Akademie,2,6,2025,6
Iitin Pallo-68,JäPS/City,4,0,2025,6
JaVo,Union Plaani/17,2,3,2025,6
PPS/Diablos Rojos,KeiKa,0,4,2025,6
FC Dons/Akatemia,Töölö Tigers,0,2,2025,6
HiHi,FC Villisiat,2,1,2025,6
Helsinki Stars,StaKe FC,1,0,2025,6
HausPa,FC Kapina/2,2,2,2025,6
KarPo,HaTP,5,0,2025,6
JäPS/Akatemia,FC Tuusula,8,0,2025,6
HeMan,HePuLi,1,2,2025,6
Länsiväylän Dynamo,KJS/Sininen,1,5,2025,6
FC Degis,FC Kontu/ST,0,2,2025,6
FC FC,FC Kotkat,1,2,2025,6
Tikka/2,FC Kirkkonummi/2,4,2,2025,6
HJK/Kantsu 94,Lännen Torpedo,1,1,2025,6
HooGee/Hodari,EPS/2,0,2,2025,6
KOPSE/VI,Ares -86,6,0,2025,6
TöTa/FC Mauskis,PPJ/Faijat Jätkäsaari,3,0,2025,6
NJS/2,HPS/Jägers,1,1,2025,6
HH Palloveikot,Kilo IF/3,1,0,2025,6
HAlku/FC,Pelikaani,2,3,2025,6
Strikers/Bertil,Ponnistus/Peruskallio,3,0,2025,6
FC Viikingit/S.C.P L,Valtti/LA,0,3,2025,6
Espoon Sonnit,Kutosen Klopit,1,1,2025,6
FC Babylon,PPV/Seos,1,1,2025,6
Pessoas Boas,HJK/Töölön Ihme,3,0,2025,6
Jäntevä/Ukot,MyPa/FC,1,1,2025,6
ViTa,Vermo Vikings,0,3,2025,6
Jokerit FC/2,Käpylä Maanantai,4,0,2025,6
FC POHU/Futboleros,FC Kiffen/2,1,0,2025,6
Mando United,FC POHU/SiPa,5,1,2025,6
FC Juvantus,Kullervo/Mosaic,2,1,2025,6
FC OHO UNITED,PPJ/Jätkäsaari,2,6,2025,6
FC POHU/Traktori,Ruila,4,5,2025,6
Tähti Helsinki,MK United/Warriors,3,3,2025,6
PiTa/II,FC POHU/Toivo,3,5,2025,6
PoPo,FC Etapo,2,3,2025,6
FC POHU/JäPa,MLHF,0,2,2025,6
Veijarit,AFG united,1,7,2025,6
Naseva,Korian Klubi/2,4,4,2025,6
FC POHU/JäPa,Kulps,4,1,2025,6
PPJ/Faijat Jätkäsaari,HJK/Töölön Ihme,1,3,2025,6
FC Kontu/U23,Ruila,3,1,2025,6
FC MVP,Sibbo-Vargarna/2,1,2,2025,6
FC Kirkkonummi/2,EPS/2,1,4,2025,6
NJS/2,PEP/Pitkätossut,3,0,2025,6
MyPa/FC,FC Etapo,1,1,2025,6
ViTa,Länsiväylän Dynamo,2,0,2025,6
Ares -86,HAlku/FC,4,1,2025,6
Helsinki Stars,FC POHU/Futboleros,2,0,2025,6
HausPa,Union Plaani/17,3,5,2025,6
HooGee/Hodari,KJS/Sininen,1,2,2025,6
Pessoas Boas,FC Kiffen/2,6,2,2025,6
Kilo IF/3,Geishan Pallo,0,4,2025,6
MLHF,FC Kontu/ST,2,0,2025,6
HH Palloveikot,FC Kotkat,2,3,2025,6
PuiU/Akatemia,AC StaSi,8,0,2025,6
Tikka/2,AC Rastaala,5,0,2025,6
FC POHU/Shrimps,HJK/Kantsu 94,0,11,2025,6
Jokerit FC/2,Kullervo/Mosaic,2,2,2025,6
KOPSE/VI,KP-75,2,0,2025,6
PiTa/II,Ponnistus/Peruskallio,0,2,2025,6
PPJ/West Wanderers,FC POHU/CJ United,0,1,2025,6
FC Tuusula,AC JazzPa,0,3,2025,6
Käpylä Maanantai,FC POHU/SiPa,2,4,2025,6
Korian Klubi/2,JaVo,4,2,2025,6
StaKe FC,FC Dons/Akatemia,1,0,2025,6
Andalus FC/Alpujarra,Valtti/LA,1,6,2025,6
FC Babylon,PPJ/Jätkäsaari,3,0,2025,6
Jäntevä/Ukot,HaTP,5,0,2025,6
TöTa/FC Mauskis,Töölö Tigers,0,2,2025,6
HPS/Jägers,KeiKa,4,1,2025,6
FC POHU/Toivo,PPV/Seos,2,2,2025,6
Mando United,FC Germania/Akademie,2,2,2025,6
ViSa,KarPo,2,0,2025,6
Veijarit,MK United/Warriors,1,3,2025,6
Tähti Helsinki,FC POHU/Traktori,3,3,2025,6
JäPS/Akatemia,Pelikaani,7,2,2025,6
Kutosen Klopit,FC FC,0,3,2025,6
PoPo,FC Villisiat,3,0,2025,6
HePuLi,Strikers/Bertil,2,3,2025,6
Naseva,Mäntsälän Urheilijat,0,0,2025,6
FC Kapina/2,JäPS/City,5,3,2025,6
FC Viikingit/S.C.P L,AFG united,0,2,2025,6
HeMan,FC OHO UNITED,3,5,2025,6
VJS/3,FC POHU/Shrimps,1,1,2025,6
EPS/2,Vermo Vikings,3,0,2025,6
Sibbo-Vargarna/2,FC Tuusula,1,1,2025,6
HaTP,PoPo,2,5,2025,6
FC Villisiat,MyPa/FC,4,1,2025,6
JaVo,Naseva,5,3,2025,6
Valtti/LA,Tähti Helsinki,2,1,2025,6
FC Kiffen/2,PPJ/Faijat Jätkäsaari,4,3,2025,6
KP-75,JäPS/Akatemia,4,1,2025,6
Pelikaani,FC MVP,3,0,2025,6
Strikers/Bertil,HeMan,7,2,2025,6
HiHi,Jäntevä/Ukot,4,5,2025,6
KJS/Sininen,FC Kirkkonummi/2,7,1,2025,6
FC Dons/Akatemia,Helsinki Stars,3,0,2025,6
FC Etapo,ViSa,0,1,2025,6
HausPa,Mäntsälän Urheilijat,2,0,2025,6
FC POHU/Traktori,MK United/Warriors,1,2,2025,6
FC FC,Espoon Sonnit,2,3,2025,6
AC Rastaala,HooGee/Hodari,2,2,2025,6
Länsiväylän Dynamo,Tikka/2,2,5,2025,6
Veijarit,FC Kontu/U23,0,5,2025,6
FC Juvantus,Kurvin Vauhti/Partiz,2,0,2025,6
Töölö Tigers,Pessoas Boas,0,0,2025,6
FC Kotkat,PPJ/West Wanderers,2,1,2025,6
HJK/Kantsu 94,NJS/2,1,4,2025,6
PEP/Pitkätossut,PPS/Diablos Rojos,5,0,2025,6
PPV/Seos,HePuLi,2,1,2025,6
JäPS/City,Korian Klubi/2,7,3,2025,6
FC Germania/Akademie,Käpylä Maanantai,1,0,2025,6
Union Plaani/17,Iitin Pallo-68,2,3,2025,6
AC JazzPa,Ares -86,2,5,2025,6
PPJ/Jätkäsaari,FC POHU/Toivo,4,2,2025,6
Geishan Pallo,Kutosen Klopit,6,3,2025,6
Ruila,FC Viikingit/S.C.P L,2,4,2025,6
Ponnistus/Peruskallio,FC Babylon,0,3,2025,6
AC StaSi,FC POHU/JäPa,3,6,2025,6
Lännen Torpedo,HPS/Jägers,1,3,2025,6
FC POHU/CJ United,Kilo IF/3,8,2,2025,6
Kullervo/Mosaic,Mando United,0,8,2025,6
FC POHU/Futboleros,TöTa/FC Mauskis,1,1,2025,6
Andalus FC/Alpujarra,AFG united,1,5,2025,6
HJK/Töölön Ihme,StaKe FC,1,3,2025,6
FC OHO UNITED,PiTa/II,0,1,2025,6
HAlku/FC,KOPSE/VI,0,6,2025,6
HaTP,FC Villisiat,8,1,2025,6
JaVo,HausPa,0,1,2025,6
Iitin Pallo-68,Mäntsälän Urheilijat,5,0,2025,6
HaTP,Jäntevä/Ukot,3,2,2025,6
JaVo,FC Kapina/2,4,0,2025,6
Iitin Pallo-68,Union Plaani/17,0,2,2025,6
FC MVP,JäPS/Akatemia,1,5,2025,6
EPS/2,KJS/Sininen,0,5,2025,6
PPS/Diablos Rojos,NJS/2,1,0,2025,6
Ares -86,KP-75,1,9,2025,6
Helsinki Stars,Töölö Tigers,5,0,2025,6
Korian Klubi/2,Mäntsälän Urheilijat,8,1,2025,6
FC Etapo,FC Villisiat,2,3,2025,6
Iitin Pallo-68,HausPa,2,2,2025,6
Valtti/LA,AFG united,2,2,2025,6
HeMan,Ponnistus/Peruskallio,2,0,2025,6
Espoon Sonnit,FC Kotkat,0,6,2025,6
HJK/Töölön Ihme,FC Kiffen/2,4,2,2025,6
Geishan Pallo,FC POHU/CJ United,0,3,2025,6
Kurvin Vauhti/Partiz,Kullervo/Mosaic,0,1,2025,6
KeiKa,Lännen Torpedo,1,0,2025,6
Kilo IF/3,FC FC,1,0,2025,6
HooGee/Hodari,Tikka/2,0,1,2025,6
KOPSE/VI,Pelikaani,2,2,2025,6
PPJ/Faijat Jätkäsaari,FC Dons/Akatemia,2,12,2025,6
PPJ/West Wanderers,HH Palloveikot,0,0,2025,6
PPV/Seos,PPJ/Jätkäsaari,2,5,2025,6
Käpylä Maanantai,FC Juvantus,2,2,2025,6
AC JazzPa,Sibbo-Vargarna/2,0,6,2025,6
MK United/Warriors,Ruila,5,2,2025,6
Andalus FC/Alpujarra,FC POHU/Traktori,3,5,2025,6
Pessoas Boas,TöTa/FC Mauskis,3,0,2025,6
FC POHU/Shrimps,PEP/Pitkätossut,2,3,2025,6
FC POHU/SiPa,FC Germania/Akademie,1,0,2025,6
MLHF,Kulps,3,2,2025,6
FC Babylon,PiTa/II,5,5,2025,6
ViTa,AC Rastaala,3,1,2025,6
Vermo Vikings,Länsiväylän Dynamo,4,1,2025,6
FC POHU/Toivo,Strikers/Bertil,0,5,2025,6
FC Degis,FC POHU/JäPa,3,1,2025,6
ViSa,HiHi,0,2,2025,6
StaKe FC,FC POHU/Futboleros,3,0,2025,6
HPS/Jägers,VJS/3,8,0,2025,6
Mando United,Jokerit FC/2,1,1,2025,6
Tähti Helsinki,Veijarit,3,1,2025,6
FC Tuusula,HAlku/FC,0,1,2025,6
PoPo,Jäntevä/Ukot,5,3,2025,6
MyPa/FC,KarPo,0,1,2025,6
FC Viikingit/S.C.P L,FC Kontu/U23,4,3,2025,6
FC Kapina/2,JaVo,5,0,2025,6
Naseva,Union Plaani/17,1,2,2025,6
HePuLi,FC OHO UNITED,1,1,2025,6
FC Kontu/U23,Veijarit,4,0,2025,6
FC Etapo,PoPo,1,4,2025,6
Mäntsälän Urheilijat,Naseva,0,3,2025,6
PPJ/Jätkäsaari,PiTa/II,6,2,2025,6
FC Kiffen/2,Pessoas Boas,0,2,2025,6
Jokerit FC/2,DFSV,2,2,2025,6
HJK/Töölön Ihme,PPJ/Faijat Jätkäsaari,4,1,2025,6
PuiU/Akatemia,Kulps,7,1,2025,6
MK United/Warriors,FC POHU/Traktori,2,2,2025,6
FC Kotkat,HH Palloveikot,0,3,2025,6
FC POHU/Futboleros,Helsinki Stars,0,8,2025,6
FC FC,Kutosen Klopit,1,1,2025,6
FC Dons/Akatemia,StaKe FC,0,1,2025,6
FC POHU/JäPa,AC StaSi,2,2,2025,6
Geishan Pallo,Kilo IF/3,4,2,2025,6
AFG united,Andalus FC/Alpujarra,1,2,2025,6
Kurvin Vauhti/Partiz,FC Juvantus,0,2,2025,6
Käpylä Maanantai,FC Germania/Akademie,0,2,2025,6
Mando United,Kullervo/Mosaic,2,1,2025,6
Töölö Tigers,TöTa/FC Mauskis,3,1,2025,6
FC POHU/CJ United,PPJ/West Wanderers,5,1,2025,6
Tähti Helsinki,Valtti/LA,3,1,2025,6
FC Viikingit/S.C.P L,Ruila,4,0,2025,6
VJS/3,KeiKa,0,3,2025,6
FC Kontu/U23,MK United/Warriors,2,2,2025,6
Sibbo-Vargarna/2,Ares -86,7,0,2025,6
KP-75,FC MVP,3,1,2025,6
FC POHU/Toivo,PPJ/Jätkäsaari,1,2,2025,6
JaVo,JäPS/City,1,0,2025,6
NJS/2,FC POHU/Shrimps,7,0,2025,6
Strikers/Bertil,PPV/Seos,4,0,2025,6
Pelikaani,FC Tuusula,2,1,2025,6
FC POHU/JäPa,PuiU/Akatemia,0,2,2025,6
HiHi,PoPo,0,6,2025,6
KJS/Sininen,Vermo Vikings,0,0,2025,6
Mäntsälän Urheilijat,Iitin Pallo-68,2,5,2025,6
Union Plaani/17,FC Kapina/2,4,3,2025,6
FC Villisiat,ViSa,3,3,2025,6
HaTP,MyPa/FC,6,2,2025,6
KarPo,FC Etapo,0,3,2025,6
Ruila,Andalus FC/Alpujarra,7,3,2025,6
FC POHU/CJ United,Kutosen Klopit,5,2,2025,6
AC Rastaala,FC Kirkkonummi/2,3,1,2025,6
FC OHO UNITED,FC Babylon,2,2,2025,6
FC POHU/Futboleros,Pessoas Boas,2,1,2025,6
Tikka/2,ViTa,7,0,2025,6
PEP/Pitkätossut,HPS/Jägers,0,2,2025,6
FC POHU/Traktori,Valtti/LA,3,2,2025,6
Kullervo/Mosaic,Käpylä Maanantai,3,0,2025,6
PiTa/II,HeMan,1,3,2025,6
HJK/Kantsu 94,PPS/Diablos Rojos,1,3,2025,6
HausPa,Naseva,3,1,2025,6
HAlku/FC,AC JazzPa,2,7,2025,6
Veijarit,FC Viikingit/S.C.P L,1,0,2025,6
HH Palloveikot,Espoon Sonnit,0,1,2025,6
TöTa/FC Mauskis,Helsinki Stars,0,0,2025,6
Töölö Tigers,PPJ/Faijat Jätkäsaari,2,2,2025,6
Jokerit FC/2,Kurvin Vauhti/Partiz,2,0,2025,6
FC Juvantus,FC POHU/SiPa,1,6,2025,6
Länsiväylän Dynamo,HooGee/Hodari,2,2,2025,6
AC StaSi,FC Degis,3,3,2025,6
FC FC,Geishan Pallo,1,2,2025,6
FC Kiffen/2,StaKe FC,0,2,2025,6
DFSV,Mando United,0,15,2025,6
JäPS/Akatemia,KOPSE/VI,0,0,2025,6
Ponnistus/Peruskallio,FC POHU/Toivo,1,3,2025,6
PPJ/Jätkäsaari,HePuLi,6,2,2025,6
Kilo IF/3,FC Kotkat,0,6,2025,6
FC Dons/Akatemia,HJK/Töölön Ihme,4,1,2025,6
AFG united,Tähti Helsinki,4,0,2025,6
Kulps,FC Kontu/ST,2,4,2025,6
Valtti/LA,Ruila,3,3,2025,6
PPJ/Faijat Jätkäsaari,StaKe FC,1,4,2025,6
FC MVP,KOPSE/VI,7,0,2025,6
VJS/3,HJK/Kantsu 94,4,2,2025,6
Sibbo-Vargarna/2,JäPS/Akatemia,0,1,2025,6
Strikers/Bertil,FC OHO UNITED,5,1,2025,6
FC Kirkkonummi/2,Vermo Vikings,1,3,2025,6
Iitin Pallo-68,Naseva,2,1,2025,6
JaVo,Mäntsälän Urheilijat,3,0,2025,6
EPS/2,AC Rastaala,2,2,2025,6
FC Babylon,HeMan,2,3,2025,6
KJS/Sininen,Tikka/2,0,2,2025,6
FC Etapo,HaTP,0,0,2025,6
FC Villisiat,Jäntevä/Ukot,2,1,2025,6
KarPo,HiHi,3,1,2025,6
PPV/Seos,Ponnistus/Peruskallio,1,2,2025,6
Kulps,AC StaSi,2,5,2025,6
FC Germania/Akademie,Jokerit FC/2,3,2,2025,6
AFG united,FC Kontu/U23,4,1,2025,6
KeiKa,PEP/Pitkätossut,1,0,2025,6
Kilo IF/3,Kutosen Klopit,5,4,2025,6
HooGee/Hodari,ViTa,2,3,2025,6
FC Tuusula,Ares -86,2,6,2025,6
JäPS/City,Union Plaani/17,4,5,2025,6
Pessoas Boas,Helsinki Stars,0,5,2025,6
PPJ/West Wanderers,Espoon Sonnit,4,1,2025,6
AC JazzPa,Pelikaani,1,1,2025,6
HAlku/FC,KP-75,0,3,2025,6
FC POHU/Traktori,Veijarit,4,2,2025,6
FC Kiffen/2,TöTa/FC Mauskis,1,4,2025,6
FC Juvantus,DFSV,2,1,2025,6
Geishan Pallo,FC Kotkat,2,2,2025,6
FC Degis,PuiU/Akatemia,1,4,2025,6
MK United/Warriors,FC Viikingit/S.C.P L,1,1,2025,6
FC Dons/Akatemia,FC POHU/Futboleros,1,3,2025,6
FC POHU/SiPa,Kullervo/Mosaic,3,0,2025,6
HJK/Töölön Ihme,Töölö Tigers,0,5,2025,6
FC POHU/CJ United,HH Palloveikot,9,2,2025,6
Andalus FC/Alpujarra,Tähti Helsinki,4,8,2025,6
Mando United,Kurvin Vauhti/Partiz,8,1,2025,6
MyPa/FC,ViSa,7,1,2025,6
Lännen Torpedo,NJS/2,2,3,2025,6
FC Kapina/2,Korian Klubi/2,1,3,2025,6
FC POHU/Toivo,HePuLi,2,0,2025,6
PPS/Diablos Rojos,FC POHU/Shrimps,6,0,2025,6
FC OHO UNITED,PPV/Seos,2,2,2025,6
FC Kontu/U23,FC POHU/Traktori,4,0,2025,6
KP-75,AC JazzPa,4,0,2025,6
HausPa,JaVo,6,1,2025,6
NJS/2,VJS/3,2,0,2025,6
Pelikaani,Sibbo-Vargarna/2,0,8,2025,6
HiHi,FC Etapo,1,1,2025,6
Mäntsälän Urheilijat,JäPS/City,1,2,2025,6
HeMan,FC POHU/Toivo,2,2,2025,6
Töölö Tigers,FC Kiffen/2,4,1,2025,6
Ponnistus/Peruskallio,PPJ/Jätkäsaari,3,2,2025,6
Helsinki Stars,PPJ/Faijat Jätkäsaari,9,0,2025,6
Korian Klubi/2,Iitin Pallo-68,4,0,2025,6
Jokerit FC/2,FC Juvantus,3,0,2025,6
Vermo Vikings,HooGee/Hodari,2,3,2025,6
DFSV,FC POHU/SiPa,0,4,2025,6
HJK/Kantsu 94,KeiKa,2,4,2025,6
HePuLi,FC Babylon,5,0,2025,6
MK United/Warriors,Andalus FC/Alpujarra,3,0,2025,6
PEP/Pitkätossut,Lännen Torpedo,8,2,2025,6
KOPSE/VI,FC Tuusula,7,1,2025,6
Ares -86,FC MVP,2,6,2025,6
TöTa/FC Mauskis,FC Dons/Akatemia,3,0,2025,6
AC Rastaala,KJS/Sininen,2,2,2025,6
FC POHU/Futboleros,HJK/Töölön Ihme,1,0,2025,6
AC StaSi,FC Kontu/ST,1,1,2025,6
AFG united,Ruila,6,2,2025,6
Länsiväylän Dynamo,EPS/2,1,6,2025,6
Jäntevä/Ukot,KarPo,3,1,2025,6
HH Palloveikot,FC FC,3,2,2025,6
Kutosen Klopit,PPJ/West Wanderers,1,7,2025,6
ViTa,FC Kirkkonummi/2,3,1,2025,6
Espoon Sonnit,Kilo IF/3,2,0,2025,6
ViSa,PoPo,3,5,2025,6
Veijarit,Valtti/LA,2,2,2025,6
JäPS/Akatemia,HAlku/FC,6,0,2025,6
Tähti Helsinki,FC Viikingit/S.C.P L,3,3,2025,6
StaKe FC,Pessoas Boas,0,2,2025,6
PuiU/Akatemia,MLHF,3,1,2025,6
Naseva,FC Kapina/2,3,3,2025,6
FC POHU/Shrimps,HPS/Jägers,1,10,2025,6
FC Kotkat,FC POHU/CJ United,0,3,2025,6
Kurvin Vauhti/Partiz,Käpylä Maanantai,0,6,2025,6
Kullervo/Mosaic,FC Germania/Akademie,0,0,2025,6
PiTa/II,Strikers/Bertil,1,3,2025,6
Valtti/LA,FC Kontu/U23,0,3,2025,6
PPJ/Faijat Jätkäsaari,FC POHU/Futboleros,2,7,2025,6
FC MVP,HAlku/FC,2,0,2025,6
PPV/Seos,FC POHU/Toivo,2,3,2025,6
EPS/2,Tikka/2,0,0,2025,6
FC Kirkkonummi/2,Länsiväylän Dynamo,0,2,2025,6
Sibbo-Vargarna/2,KOPSE/VI,3,0,2025,6
Iitin Pallo-68,JaVo,3,1,2025,6
MyPa/FC,HiHi,1,1,2025,6
PPS/Diablos Rojos,VJS/3,1,1,2025,6
KJS/Sininen,ViTa,1,1,2025,6
Ares -86,Pelikaani,1,2,2025,6
FC Kiffen/2,Helsinki Stars,0,9,2025,6
Korian Klubi/2,Union Plaani/17,3,7,2025,6
FC Etapo,Jäntevä/Ukot,2,4,2025,6
FC Tuusula,KP-75,0,9,2025,6
MLHF,AC StaSi,3,1,2025,6
PPV/Seos,PiTa/II,1,1,2025,6
PPJ/West Wanderers,FC FC,3,1,2025,6
FC Kontu/ST,FC POHU/JäPa,4,1,2025,6
Pessoas Boas,FC Dons/Akatemia,1,1,2025,6
FC Babylon,Strikers/Bertil,2,5,2025,6
FC POHU/SiPa,Jokerit FC/2,4,1,2025,6
FC Degis,Kulps,7,1,2025,6
AFG united,MK United/Warriors,1,0,2025,6
Käpylä Maanantai,DFSV,5,2,2025,6
FC Kapina/2,Mäntsälän Urheilijat,2,2,2025,6
PPJ/Jätkäsaari,HeMan,1,6,2025,6
JäPS/City,HausPa,0,4,2025,6
Andalus FC/Alpujarra,Veijarit,1,5,2025,6
Geishan Pallo,HH Palloveikot,1,3,2025,6
Vermo Vikings,AC Rastaala,4,1,2025,6
HJK/Töölön Ihme,TöTa/FC Mauskis,0,3,2025,6
Kutosen Klopit,FC Kotkat,1,7,2025,6
FC POHU/CJ United,Espoon Sonnit,5,1,2025,6
HePuLi,Ponnistus/Peruskallio,3,1,2025,6
HPS/Jägers,HJK/Kantsu 94,1,1,2025,6
AC JazzPa,JäPS/Akatemia,1,3,2025,6
FC Germania/Akademie,Kurvin Vauhti/Partiz,2,0,2025,6
ViSa,HaTP,3,6,2025,6
StaKe FC,Töölö Tigers,0,4,2025,6
Lännen Torpedo,FC POHU/Shrimps,2,3,2025,6
Mando United,FC Juvantus,8,2,2025,6
FC POHU/Toivo,FC OHO UNITED,2,2,2025,6
FC Viikingit/S.C.P L,FC POHU/Traktori,4,1,2025,6
Tähti Helsinki,Ruila,5,1,2025,6
PoPo,KarPo,2,2,2025,6
PPS/Diablos Rojos,HPS/Jägers,5,3,2025,6
HeMan,Strikers/Bertil,1,4,2025,6
KeiKa,NJS/2,3,1,2025,6
PPJ/West Wanderers,Kilo IF/3,5,0,2025,6
FC MVP,FC Tuusula,5,1,2025,6
VJS/3,Lännen Torpedo,3,2,2025,6
ViTa,EPS/2,0,3,2025,6
FC Degis,MLHF,1,6,2025,6
FC POHU/Futboleros,Töölö Tigers,3,4,2025,6
TöTa/FC Mauskis,StaKe FC,2,1,2025,6
HeMan,PPV/Seos,1,3,2025,6
Iitin Pallo-68,FC Kapina/2,6,1,2025,6
DFSV,Kullervo/Mosaic,0,3,2025,6
PuiU/Akatemia,FC Kontu/ST,0,4,2025,6
HAlku/FC,Sibbo-Vargarna/2,0,5,2025,6
HiHi,HaTP,0,3,2025,6
FC Kontu/U23,Tähti Helsinki,3,2,2025,6
FC Viikingit/S.C.P L,Andalus FC/Alpujarra,6,4,2025,6
Helsinki Stars,HJK/Töölön Ihme,3,2,2025,6
Veijarit,Ruila,0,0,2025,6
HausPa,Korian Klubi/2,4,6,2025,6
PiTa/II,HePuLi,2,4,2025,6
KarPo,FC Villisiat,4,2,2025,6
FC Dons/Akatemia,FC Kiffen/2,4,3,2025,6
Espoon Sonnit,Geishan Pallo,1,2,2025,6
HJK/Kantsu 94,PEP/Pitkätossut,3,1,2025,6
Mando United,Käpylä Maanantai,1,1,2025,6
MK United/Warriors,Valtti/LA,3,1,2025,6
Tikka/2,Vermo Vikings,0,1,2025,6
HooGee/Hodari,FC Kirkkonummi/2,2,2,2025,6
KOPSE/VI,AC JazzPa,10,0,2025,6
FC FC,FC POHU/CJ United,0,3,2025,6
Kurvin Vauhti/Partiz,FC POHU/SiPa,1,1,2025,6
AFG united,FC POHU/Traktori,4,0,2025,6
FC Babylon,FC POHU/Toivo,4,2,2025,6
Länsiväylän Dynamo,AC Rastaala,0,5,2025,6
Jäntevä/Ukot,ViSa,10,0,2025,6
HH Palloveikot,Kutosen Klopit,2,0,2025,6
KP-75,Pelikaani,5,2,2025,6
JäPS/Akatemia,Ares -86,12,3,2025,6
FC Juvantus,FC Germania/Akademie,4,1,2025,6
Strikers/Bertil,PPJ/Jätkäsaari,5,0,2025,6
FC OHO UNITED,Ponnistus/Peruskallio,1,1,2025,6
Naseva,JäPS/City,4,0,2025,6
FC POHU/Shrimps,KeiKa,0,8,2025,6
Mäntsälän Urheilijat,Union Plaani/17,2,5,2025,6
